position,song,artist
1,THAT'S SO TRUE,GRACIE ABRAMS
2,SAILOR SONG,GIGI PEREZ
3,APT,ROSE & BRUNO MARS
4,HOT TO GO,CHAPPELL ROAN
5,THE DOOR,TEDDY SWIMS
6,BED CHEM,SABRINA CARPENTER
7,WILDFLOWER,BILLIE EILISH
8,BAD DREAMS,TEDDY SWIMS
9,THICK OF IT,KSI FT TRIPPIE REDD
10,TASTE,SABRINA CARPENTER
11,MOVE,ADAM PORT/STRYV/KEINEMUSIK
12,NICE TO MEET YOU,MYLES SMITH
13,BIRDS OF A FEATHER,BILLIE EILISH
14,DIE WITH A SMILE,LADY GAGA & BRUNO MARS
15,TIMELESS,WEEKND/PLAYBOI CARTI
16,DIET PEPSI,ADDISON RAE
17,GOOD LUCK BABE,CHAPPELL ROAN
18,BEAUTIFUL THINGS,BENSON BOONE
19,ESPRESSO,SABRINA CARPENTER
20,I LOVE YOU I'M SORRY,GRACIE ABRAMS
21,DISEASE,LADY GAGA
22,LABOUR,PARIS PALOMA
23,LOSE CONTROL,TEDDY SWIMS
24,STARGAZING,MYLES SMITH
25,THE EMPTINESS MACHINE,LINKIN PARK
26,A BAR SONG (TIPSY),SHABOOZEY
27,ST. CHROMA,TYLER THE CREATOR/CAESAR
28,NIGHT CHANGES,ONE DIRECTION
29,PRADA,CASSO/RAYE/D-BLOCK EUROPE
30,NIGHTS LIKE THIS,KID LAROI
31,CLOSE TO YOU,GRACIE ABRAMS
32,STICK SEASON,NOAH KAHAN
33,TOO SWEET,HOZIER
34,SOMEDAYS,SONNY FODERA/JAZZY/D O D
35,KISSES,BL3SS/CAMRINWATSIN/BBYCLOSE
36,IT'S OK I'M OK,TATE MCRAE
37,AUSTIN,DASHA
38,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY
39,THE DAYS,CHRYSTAL
40,LOVE SOMEBODY,MORGAN WALLEN
